,en,fil
about_baka,"Luksong Baka is a Filipino traditional game that began in the province of Bulacan in the Philippines's Central Luzon region. A minimum three individual guys and a maximum of ten are required for this game. Although children may be able to alter the maximum number of players. especially if there are a lot of them. Its goal is for players to jump over the baka (the player to jump over), also known as the taya without tripping or tumbling over the baka.","Ang Luksong Baka ay isang tradisyonal na larong Pilipino  na nagsimula sa lalawigan ng Bulacan sa rehiyon ng Gitnang Luzon ng Pilipinas. Hindi bababa sa tatlong indibidwal na lalaki at maximum na sampu ang kinakailangan para sa larong ito. Bagama't maaaring baguhin ng mga bata ang maximum na bilang ng mga manlalaro, lalo na kung marami sila. Ang layunin nito ay para sa mga manlalaro na tumalon sa ibabaw ng baka (ang manlalaro na tumalon), na kilala rin bilang taya nang hindi natatapakan o natatambakan sa baka."
about_langit,"Langit-lupa is a chase game, a habulan variation in which participants can avoid getting tagged if they stand on a high platform. It then pursues the other players, attempting to tag them. Just like in habulan, whoever is tagged becomes the taya. Players can, however, climb or step onto a higher level, such as a flight of stairs, a table, or simply dangle from a jungle gym. Players who are able to do so will not be marked. This restriction is governed by many rules. One method is to keep track of a player's immunity. The player must come down and become vulnerable again after a predetermined number of counts. Some groups make it a rule that it must move away from greater players to give them a chance to flee. When the playerss are exhausted or called home, the game is over.","Ang Langit-lupa ay isang larong habulan, isang pagkakaiba-iba ng habulan kung saan maiiwasan ng mga kalahok na ma-tag kung sila ay tatayo sa mataas na plataporma. Pagkatapos ay hinahabol nito ang iba pang mga manlalaro, sinusubukang i-tag sila. Katulad ng sa habulan, kung sino ang naka-tag ay nagiging ito. Gayunpaman, ang mga manlalaro ay maaaring umakyat o humakbang sa mas mataas na antas, tulad ng isang hagdanan, isang mesa, o simpleng suray-suray mula sa isang jungle gym. Ang mga manlalaro na makakagawa nito ay hindi mamarkahan. Ang paghihigpit na ito ay pinamamahalaan ng maraming mga patakaran. Ang isang paraan ay ang pagsubaybay sa kaligtasan ng isang manlalaro. Ang manlalaro ay dapat bumaba at maging mahina muli pagkatapos ng paunang natukoy na bilang ng mga naglalaro. Ginagawa ng ilang grupo ang panuntunan na dapat itong lumayo sa mas malalaking manlalaro para mabigyan sila ng pagkakataong tumakas. Kapag ang mga manlalaro ay pagod na o tinawag ng mga magulang, ang laro ay tapos na."
about_palo,"Palo-sebo (Spanish for ""stick/pole grease"") is a popular Filipino game. It is most likely originated from the Spanish cucaa, a local version of the greasy pole. Boys often play this game during a town fiesta or on special occasions throughout the Philippines' many provinces. A tiny bag containing the prize or flag is tied to the top of long and straight bamboo poles that have been polished and greased. Money, chocolates, or toys are commonly found in the bag. A little flag is sometimes used in place of the actual reward, which is delivered to the winner later. Contestants take turns climbing the pole to win the prize, and anyone who doesn't make it to the summit is disqualifed. The person who is successful in reaching and untying the reward or retrieving the flag is declared the winner.","Ang Palo-sebo (Espanyol para sa ""stick/pole grease"") ay isang tanyag na larong Pilipino. Ito ay malamang na nagmula sa Spanish cucaa, isang lokal na bersyon ng greasy pole. Madalas na nilalaro ng mga lalaki ang larong ito sa panahon ng pista ng bayan o sa mga espesyal na okasyon sa maraming probinsya sa Pilipinas. Ang isang maliit na bag na naglalaman ng premyo o watawat ay nakatali sa tuktok ng mahaba at tuwid na mga poste ng kawayan na pinakintab at nilagyan ng mantika. Pera, tsokolate, o laruan ay karaniwang makikita sa bag. Minsan ginagamit ang isang maliit na bandila bilang kapalit ng aktwal na gantimpala, na ihahatid sa nanalo sa ibang pagkakaton. ang mga kalahok ay humalili sa pag-akyat sa poste upang mapanalunan ang premyo, at sinumang hindi makakarating sa summit ay madidisqualify. Ang taong matagumpay sa pag-abot at pagtanggal ng gantimpala o pagkuha ng watawt ay idineklara na panalo."
about_sipa,"Before Spain colonized the Philippines, Filipinos began playing Sipa in the 15th century. Sipa was even considered the national sport of the Philippines until Arnis took its place in 2009, during former President Gloria Macapagal Arroyo's administration. Sipa, which means ""kick"" in Filipino, also refers to the game's ball, which comes in a variety of shapes and sizes and is typically created by the players themselves. The lead washer and rattan ball are the two most common forms of sipa ball. A coin-like object is linked to the lead washer sipa by strips of cloth or plastic straws. The rattan ball is made of rattan strips that have been shaped into a hollow ball with a diameter of at least 4 inches. Sipa is a game that can be played by individually or with multiple players. A player tosses the sipa into the air and kicks it repeatedly to keep it from striking the ground. A point is awarded for each kick. When the sipa is dropped, the turn is over. As a result, the game is won by the player who can keep the ball in the air the longest and hits it the most.","Bago sinakop ng Espanya ang Pilipinas, nagsimulang maglaro ng Sipa ang mga Pilipino noong ika-15 siglo. Itinuring pa nga ang Sipa bilang pambansang isport ng Pilipinas hanggang sa pumalit sa Arnis noong 2009, sa panahon ng administrasyon ni dating Pangulong Gloria Macapagal Arroyo. Ang Sipa, na nangangahulugang ""sipa"" sa Filipino, ay tumutukoy din sa bola ng laro, na may iba't ibang hugis at sukat at karaniwang nilikha ng mga manlalaro mismo. Ang lead washer at rattan ball ay ang dalawang pinakakaraniwang anyo ng sipa ball. Ang isang bagay na parang barya ay naka-link sa lead washer sipa sa pamamagitan ng mga piraso ng tela o plastic na straw. Ang rattan ball ay gawa sa rattan strips na ginawang guwang na bola na may diameter na hindi bababa sa 4 na pulgada. Ang Sipa ay isang laro na maaaring laruin ng indibidwal o may maraming manlalaro. Inihahagis ng isang manlalaro ang sipa sa hangin at sinisipa ito ng paulit-ulit para hindi ito tumama sa lupa. Isang puntos ang iginagawad sa bawat sipa. Kapag nalaglag ang sipa, tapos na ang turn. Bilang resulta, ang laro ay napanalunan ng manlalaro na maaaring panatilihin ang bola sa hangin nang pinakamatagal at pinakamaraming natamaan ito."
button_close,Close,Bumalik
button_easy,Easy,Madali
button_exit,Exit,Lumisan
button_hard,Hard,Mahirap
button_med,Medium,Katamtaman
button_play,Play,Laruin
button_quit,Quit,Umalis
button_reset,Retry,Ulitin
button_resume,Resume,Ituloy
button_shop,Shop,Tindahan
button_start,Start Game,Simulan
button_start,Start Game,Simulan
failed_baka,You tripped over! No Pearls earned.,Nadapa ka sa iyong pagbaba!
failed_langit,You got tagged three times!,Nahuli ka ng taya ng tatlong beses!
failed_palo,You failed to reach the flag in time!,Hindi mo naabot ang watawat sa takdang oras.
failed_sipa,You failed to hit the pebble at all!,Hindi mo nagawang tamaan ang sipa!
menu_difficulty,Select Difficulty:,Pumili ng kabigatan
menu_themeselect,Select a theme:,Pumili ng disenyo:
menu_tooltip,Select a game to view info.,Pumili ng laro upang alamin ang mga ito.
pearls,Pearls:,Perlas: 
rules_baka,Hold the Space Bar to start the game.,Hawakan ang Space Bar para magstart ang laro.
rules_langit,"Press A to move left, D to move right, and Space to Jump. Go to the high grounds to avoid the enemies and survive.","Pindutin ang A  upang gumalaw sa kaliwa, D upang gumalaw sa kanan at Space para makatalon. Punta sa mga matataas na lugar upang iwasan ang mga kalaban at Mabuhay."
rules_palo,Press A and D to climb. Reach the flag in a limited time,Pindutin ang  A at D upang umakyat. Abutin ang bandila sa limitadong oras.
rules_sipa,"Press Left Arrow Key to Move Left, Right Arrow Key to Move Right, and Space bar to Kick. Don't Let the Sipa Fall to the Ground","Pindutin ang Left Arrow Key para makagalaw sa Kaliwa, Right Arrow Key para makagalaw sa Kanan, at Space bar para Sipain ang Sipa. Huwag Hayaan Mahulog ang Sipa sa Lupa."
tab_about,About,Kaalaman
tab_mythical,Mythical Creatures,Kathang-isip na mga nilalang
tab_rules,Rules,Mga Panuntunan
tab_themes,Themes,Mga Disensyo
title,KlasikoPinas,KlasikoPinas
ui_earnings,You have earned {p} Pearl(s).,Nakatanggap ka ng {p} (na) perlas.
ui_earninot,No Pearls gained.,Walang natanggap na perlas.
ui_failed,Failed,Palpak
ui_score,Score: {score},Puntos: {score}
ui_time_left,Time Left:,Natitirang Oras:
ui_victory,Victory,Tagumpay
victory_baka,You crossed all of the cows!,Natalunan mo lahat ng mga baka!
victory_langit,You managed to survive the game! ,Naiwasan mo ang mga taya!
victory_palo,You reached the flag in time! Time elapsed: {time},Naabot mo ang watawat sa takdang oras! Natapos nang {time} segundo.
victory_sipa,You hit the pebble {x} time(s)!,Natamaan mo ang sipa ng {x} beses!
View,View,Tignan
Buy,Buy,Bilhin
Price,Price,Presyo
siyokoy_description,"The Siyokoy are fearsome merfolk. They are aquatic creatures with a humanoid form and scaled fish-like bodies. \nOn different areas of their body, they have wide green tentacles and fins.They have gill\nslits, webbed hands, and are brown or green in appearance.""","Ang Siyokoy ay nakakatakot na tubig nilalang. Sila ay mga nilalang na nabubuhay sa\ntubig na may anyo ng humanoid at mga katawan na parang isda.\n Sa iba't ibang bahagi ng kanilang katawan, mayroon silang malalapad na berdeng\ngalamay at palikpik. Ang mga ito ay may hasang, webbed na mga kamay, at kayumanggi\no berde ang hitsura"
siyokoy_info,"They are sea creatures that are believed to drown and swallow mortals.\n They are widely accused of causing ocean disasters.\n Eels, octopus, rays, and squids, among many other threatening aquatic species,\n usually swim along Siyokoy.""","Sila ay mga nilalang sa dagat na pinaniniwalaang lumulunod at lumulunok ng mga tao.\nSila ay malawak na inakusahan na nagdudulot ng mga sakuna sa karagatan. Mga igat, pugita, sinag, at pusit, bukod sa maraming iba pang mapanganib na uri ng tubig, karaniwang lumangoy sa kahabaan ng Siyokoy."
santelmo_description,A ball of fire that levitating.,Siya ay isang bolang apoy na lumulutang.
